ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
1,"NORTHERN","ABELL","ABELL Baltimore MD",39.324474,-76.610944,149,168,889,606,213,3,33,1,4,29,30,424,465,55,43,5,10,118,254,149,186,69,159,105,41,12,4,42,19,515,440,248,192,75,49,4,22
2,"SOUTHWEST","ALLENDALE","ALLENDALE Baltimore MD",39.291798,-76.6752,470,132,3554,18,3497,8,6,0,5,20,21,1536,2018,179,315,136,181,317,383,315,1039,689,874,253,62,111,34,510,193,1608,1433,818,615,175,99,20,56
3,"NORTHEAST","ARCADIA","ARCADIA Baltimore MD",39.331811,-76.564717,66,53,1235,623,537,4,12,0,10,49,31,592,643,101,85,40,55,116,188,164,380,106,305,194,79,23,9,88,40,510,462,356,106,48,14,9,25
4,"NORTHWEST","ARLINGTON","ARLINGTON Baltimore MD",39.348165,-76.68314,306,118,2598,33,2496,3,9,0,10,47,17,1219,1379,148,237,92,114,231,297,305,775,399,585,215,63,76,28,294,130,1312,1079,485,594,233,64,24,145
5,"NORTHEAST","ARMISTEAD GARDENS","ARMISTEAD GARDENS Baltimore MD",39.304972,-76.553158,252,73,3458,2698,108,51,14,8,413,166,841,1621,1837,266,330,113,125,272,496,438,929,489,877,431,164,115,47,331,160,1543,1459,981,478,84,26,17,41
6,"NORTHWEST","ASHBURTON","ASHBURTON Baltimore MD",39.326771,-76.674478,158,63,2520,33,2431,6,4,0,15,31,39,1082,1438,106,178,79,103,192,214,250,791,607,625,326,99,65,21,234,78,1202,1097,787,310,105,18,14,73
7,"SOUTHEAST","BALTIMORE HIGHLANDS","BALTIMORE HIGHLANDS Baltimore MD",39.29358,-76.564717,561,208,2703,1023,700,63,75,11,693,138,1117,1485,1218,253,203,85,95,358,569,413,500,227,514,194,90,108,35,212,119,1148,876,302,574,272,98,45,129
8,"EASTERN","BARCLAY","BARCLAY Baltimore MD",39.315,-76.611666,422,193,2181,302,1764,10,23,0,35,47,78,1149,1032,127,129,42,57,255,368,280,740,183,379,119,24,52,10,208,97,1490,955,223,732,535,127,33,375
9,"SOUTHERN","BARRE CIRCLE","BARRE CIRCLE Baltimore MD",39.284705,-76.627914,65,144,450,228,154,6,34,0,12,16,14,224,226,14,19,7,10,82,165,62,65,26,69,49,14,7,5,13,5,245,209,98,111,36,11,3,22
10,"SOUTHEAST","BAYVIEW","BAYVIEW Baltimore MD",39.291562,-76.545882,103,46,2263,1481,234,7,123,0,342,76,519,1151,1112,189,133,53,74,221,479,284,522,308,502,285,124,76,31,141,62,1114,968,520,448,146,60,20,66
11,"SOUTHWEST","BEECHFIELD","BEECHFIELD Baltimore MD",39.276234,-76.700461,228,61,3708,363,3216,7,29,0,20,73,87,1638,2070,256,372,174,161,384,573,484,1051,253,970,404,161,95,46,471,266,1554,1440,888,552,114,74,13,27
12,"NORTHEAST","BELAIR-EDISON","BELAIREDISON Baltimore MD",39.321528,-76.574831,1552,93,16690,1338,14958,38,81,1,77,197,199,7500,9190,1134,1734,794,873,1825,2251,2145,4675,1259,4157,1457,491,382,155,2318,1191,6710,5986,4107,1879,724,238,104,382
